lat,lon,pano_id,color
6.532,3.227,8_H3QPaCI1vguu4_qFhmFQ,#588CC7
6.532,3.244,k7eif7OYUzYAvaeX4r8TAw,#588CC7
6.533,3.211,yhw2zNm79JGeISe741yJEA,#588CC7
6.533,3.228,iKqAMBdE_9z3G6nNQbORgA,#588CC7
6.534,3.213,dda-GXvbGtfzzp88gZWJYg,#588CC7
6.533,3.245,she_UvYovDhq-fd05NTSCA,#588CC7
6.534,3.23,zL7-fIH7GI7bsi0rMIosiw,#588CC7
6.535,3.231,R02Gii1Od-MXHE6VSdBO6g,#588CC7
6.535,3.214,lFBzoRiaKP8p48QRhIrXuQ,#588CC7
6.534,3.247,1H79UE2eSUKUk94bXcp2fw,#588CC7
6.535,3.248,M2iQDwWFvQS7FV7a5sOUxw,#588CC7
6.536,3.216,trLK1eA9jftEpQaHlgpHuw,#588CC7
6.537,3.217,f_n51Rcgb7jRv9833GyhfQ,#588CC7
6.538,3.219,uxKXVi1cvNp0MSvCOeZw2Q,#588CC7
6.539,3.22,piKDorq4bxPIe031tV0xtg,#588CC7
6.54,3.222,XwblubAdCDbtUOXeQex8FA,#588CC7
6.54,3.239,HcQNTnt7mbL9vV1CY1XUPQ,#588CC7
6.541,3.223,yI70Elu85HQQJhxQ-b6RIQ,#588CC7
6.542,3.225,iOQko65odYSu_O3Odvitog,#588CC7
6.542,3.242,VDHBdz2krabopFxv0YkSKw,#588CC7
6.541,3.241,wsyffmRAh73N6P_-T6zQcw,#588CC7
6.543,3.227,OZv0wJ6cLmJNq0T3iOwuqw,#588CC7
6.544,3.228,M0K_OUItoWIDL9VvXHpg7g,#588CC7
6.544,3.245,YrG23IAlMC15vqb5sTh6JQ,#588CC7
6.545,3.247,oYnq4SaOjIth-XpodyZE-g,#588CC7
6.545,3.23,6RKw2Tqod_3tYuYaKHzzAg,#588CC7
6.546,3.248,KX4ShmBRODOiJaGEBPegew,#588CC7
6.546,3.231,JekA2lWI5qieIW6Y7VdX1g,#588CC7
6.547,3.216,PTskouCXCeXG7jCdpGCzbw,#588CC7
